alpha,vfuel,air_LPM,flame_length,max_temp,rop_NO,rop_NO2,rop_N2O
0.5,35.0,111.11111111111111,0.002553191489361702,300.0000000000001,3.453384188987746e-65,3.453384189076515e-65,3.453384189225834e-65
0.5,35.0,138.88888888888889,0.001276595744680851,304.6751932385299,3.451895780568778e-65,3.453384076474353e-65,3.453384188901749e-65
0.5,35.0,166.66666666666669,0.001276595744680851,300.0273504954027,3.4374599500510885e-65,3.4533829963178995e-65,3.4533841887036857e-65
0.5,35.0,194.44444444444446,0.001276595744680851,300.59277709059967,1.0022417055249493e-60,1.0554284081574261e-64,3.4538859288195257e-65
0.5,35.0,222.22222222222223,0.000851063829787234,301.12760075922114,-3.9337109747647327e-60,-2.3163517803882352e-64,3.451584816790627e-65
0.5,35.0,250.0,0.000851063829787234,300.00003269003616,1.7703779304446828e-56,1.1737437990757569e-60,1.1210423821891401e-64
0.75,25.0,0.0,0.01957446808510638,301.552086249152,-1.5055659243796557e-21,2.2539328972984525e-22,-2.2546487030021253e-22
0.75,25.0,27.77777777777778,0.004680851063829788,300.00011500029063,3.4533845805335674e-65,3.45338427326697e-65,3.4533841890612176e-65
0.75,25.0,55.55555555555556,0.002553191489361702,300.0000002402423,3.4533841891492306e-65,3.453384189459513e-65,3.4533841893593176e-65
0.75,25.0,83.33333333333334,0.001702127659574468,301.49875656297024,2.2053820800307926e-39,1.413796024529005e-38,7.016307319516848e-38
0.75,25.0,111.11111111111111,0.001276595744680851,300.7541243229937,3.453384189502547e-65,3.4533841893558117e-65,3.4533841891613436e-65
0.75,25.0,138.88888888888889,0.001276595744680851,300.0000044008693,3.453363020181424e-65,3.4533720533829517e-65,3.453370452559029e-65
0.75,25.0,166.66666666666669,0.000851063829787234,300.9277543777345,-4.9673694506803784e-36,-4.76384390959951e-40,-5.366887370413037e-44
0.75,25.0,194.44444444444446,0.008936170212765958,300.00000000000045,3.056142047090754e-65,3.4533560728868335e-65,3.4533841870917503e-65
0.75,25.0,222.22222222222223,0.000851063829787234,300.0000000247796,7.764954341376612e-65,3.4536793670229853e-65,3.453384210169451e-65
0.75,25.0,250.0,0.000425531914893617,300.00664955052156,2.3322398720393697e-57,1.5470236819853136e-61,4.475840132751964e-65
0.75,40.0,0.0,0.01957446808510638,301.0753029982351,4.541789369784469e-21,-4.1792034078942624e-22,-2.566545970524805e-21
0.75,40.0,27.77777777777778,0.006382978723404255,300.00054743694903,3.453384189024533e-65,3.453384189380306e-65,3.4533841893000317e-65
0.75,40.0,55.55555555555556,0.003829787234042553,300.1162292916725,-1.117277328446761e-60,3.40789621105544e-61,2.0780313803820208e-60
0.75,40.0,83.33333333333334,0.002553191489361702,301.6184660687016,6.052882432155152e-36,-3.083852643299453e-35,-1.2020360105245852e-35
0.75,40.0,111.11111111111111,0.002127659574468085,300.0028162806423,1.791496032413974e-55,3.432496194791373e-56,1.652547157075152e-56
0.75,40.0,138.88888888888889,0.001702127659574468,300.00017681665753,3.453376179534553e-65,3.4533841887550114e-65,3.4533841891251788e-65
0.75,40.0,166.66666666666669,0.001276595744680851,301.34831654202594,-2.0199353927856218e-64,3.45164899894173e-65,3.4533840624647204e-65
0.75,40.0,194.44444444444446,0.001276595744680851,300.00060347215987,-3.719788555147294e-62,3.1896394630362164e-65,3.453365556515284e-65
0.75,40.0,222.22222222222223,0.001276595744680851,300.17715724183176,5.434964306304394e-37,3.153379164574704e-37,-5.526690790528777e-36
0.75,40.0,250.0,0.000851063829787234,303.5503965142401,-1.0062504559030191e-30,1.3033408474474982e-31,4.523235313088283e-31
0.75,50.0,0.0,0.01957446808510638,300.99542407874895,3.817817329280403e-22,3.3527894103832397e-21,-7.155717119776423e-21
0.75,50.0,27.77777777777778,0.00723404255319149,300.000000059713,3.453385432105775e-65,3.4533841900159178e-65,3.4533841892248384e-65
0.75,50.0,55.55555555555556,0.0002127659574468085,300.00000000044713,3.033861783968582e-13,3.556999916337439e-13,4.0548269764481066e-13
0.75,50.0,83.33333333333334,0.0032047872340425533,300.00000000000443,3.105567053055959e-15,3.3473810606914005e-15,3.572765399401441e-15
0.75,50.0,111.11111111111111,0.000425531914893617,300.000000000003,-5.162457478025188e-62,5.883211960651114e-64,2.3431728232992415e-62
0.75,50.0,138.88888888888889,0.002127659574468085,300.0872474738663,-2.9491741400476973e-55,1.3434429042234608e-54,-1.8014624023417973e-55
0.75,50.0,166.66666666666669,0.001702127659574468,300.9853531161817,3.90648410245727e-37,7.445986923050084e-36,-1.3370743735089325e-35
0.75,50.0,194.44444444444446,0.001702127659574468,300.0000106170733,-1.4654631529911281e-61,2.4149730459328074e-65,3.4533108254318943e-65
0.75,50.0,222.22222222222223,0.001276595744680851,300.44784083632237,3.638249462606636e-38,9.200807512434202e-38,2.6971592690996145e-37
0.75,50.0,250.0,0.001276595744680851,300.00082211041257,3.0713697192979127e-54,2.060349523938344e-58,1.3781901552789298e-62
